AntA,AntB,t,p,h,Total,E-W,N-S,U-D,NE-SW,NW-SE
4.0,7.0,0.661699553540564,0.0611043153034529,2.4467226561644333,132.7813240352405,68.757693,113.376674,6.999247,31.55038403473372,128.78844599281933
4.0,8.0,0.7455801798836514,0.081204013432,2.450000000000003,90.21529718082527,3.547986,89.941965,6.054302,61.08976840458818,66.10737832489804
5.0,7.0,0.6311358606917372,0.0640127139307651,2.692844391491203,181.63506520684496,83.094079,161.261706,9.018488,55.27285912096067,172.78563259566204
5.0,8.0,0.7329031226903777,0.0562949477493361,2.583071605560162,139.2167876967154,17.884372,137.826997,8.073544,84.81224349081512,110.10456492774074
7.0,8.0,0.3489716155559991,0.0714805766147606,6.112248420432165,69.29923837224392,65.209707,23.43471,0.944944,29.53938366274768,62.68106837502806
1.0,3.0,0.6750399363639601,0.0578245438363751,1.369486790300123,119.27530672172897,45.216904,110.36683,1.092347,46.06795446840176,110.014313353724
1.0,4.0,0.614912378768379,0.0581232079302367,1.33960568788131,130.4228441472024,65.594522,112.588429,5.596661,125.99437294393032,33.22971031414997
1.0,5.0,0.5397380874670739,0.0577214345298671,1.1988087048047844,103.11877431171048,79.930908,64.703397,7.615903,102.27189785770337,10.76747628869275
1.0,7.0,0.9007765048974544,0.0972849882879245,1.9381498850950725,225.99159424469323,3.163171,225.965103,1.402585,157.54475697866403,162.0181563069693
1.0,8.0,0.9093075496787236,0.1042848687637842,1.7551079930340776,211.82195957614832,62.046536,202.530394,0.457641,187.0841413485185,99.337088639048
3.0,4.0,0.4261124535039784,0.0558092836520813,0.9553323294553407,111.03535687190976,110.811426,2.221599,6.689009,79.92641847552855,76.78460303957405
3.0,5.0,0.6385478459168066,0.0591585762268778,1.1786944651197238,133.50265008528982,125.147812,45.663433,8.70825,56.203943389301614,120.78178964241674
3.0,7.0,0.8179058126650888,0.0901162504512171,1.3491209361752547,123.01046064231474,42.053733,115.598273,0.310238,111.47680251026227,52.0038429532453
3.0,8.0,0.7943250005887028,0.1088284728930375,1.458852286060936,141.42125284834316,107.26344,92.163563,0.634706,141.01618617300997,10.677225421782785
4.0,5.0,0.5235833019187812,0.0466517156392569,0.8451259277053473,50.02584923253762,14.336386,47.885032,2.019242,23.722475086226943,43.9971866028427
4.0,7.0,0.7082358812804022,0.0729930454054397,1.394964341991466,132.7813240352405,68.757693,113.376674,6.999247,31.55038403473372,128.78844599281933
4.0,8.0,0.7929560023187292,0.08682318821144,1.384006056492392,90.21529718082527,3.547986,89.941965,6.054302,61.08976840458818,66.10737832489804
5.0,7.0,0.9371160892846172,0.0768535178025899,1.6885847654666766,181.63506520684496,83.094079,161.261706,9.018488,55.27285912096067,172.78563259566204
5.0,8.0,1.073060408650208,0.0861719269659602,1.872438079779964,139.2167876967154,17.884372,137.826997,8.073544,84.81224349081512,110.10456492774074
7.0,8.0,0.5276718946903605,0.0919535117346868,4.237305153072825,69.29923837224392,65.209707,23.43471,0.944944,29.53938366274768,62.68106837502806
1.0,2.0,0.3167744514187305,0.4255374652253749,0.7970145398541666,16.442700565515295,6.168014,15.24196,0.025701,15.139137800427672,6.416248748720547
1.0,5.0,0.370044233000935,0.4196886645915469,0.7635217580631404,19.03369620589682,15.058209,11.641809,0.014703,18.87976378560288,2.4157596072457204
1.0,7.0,0.281609761090642,0.4247444870140384,0.8423013232125071,9.702172414736712,1.407575,9.599518,0.011677,5.792578446393669,7.783190101450978
1.0,8.0,0.5061835328841386,0.4126256442119143,1.0721366471210296,48.119363801361054,34.404428,32.986266,6.611714,1.0027919670210783,47.65241671626757
2.0,5.0,0.4004623870522477,0.0516334001094946,0.6064947911796794,9.591573741782002,8.890195,3.600151,0.040404,3.740625985175208,8.832008355966268
2.0,7.0,0.2645700849490477,0.0563192004177608,0.7051048250778006,25.29349729416201,4.760439,24.841478,0.014024,20.931716246821345,14.199438850171523
2.0,8.0,0.4061327353393644,0.0974660772274091,1.011593628417151,44.77006866188371,40.572442,17.744307,6.586013,16.14192906034197,41.23616867465381
5.0,7.0,0.4204574379432735,0.0536993191986425,2.289919369466248,25.249445087512026,13.650634,21.241327,0.02638,24.672342231996545,5.367430494205256
5.0,8.0,0.5392299605480682,0.0840434903741993,2.032526587901021,54.27750683815002,49.462637,21.344458,6.626417,19.882555045517176,50.068177030620085
7.0,8.0,0.499321232656571,0.0718998893909201,1.26937381571177,56.032215120764256,35.812003,42.585785,6.600037,4.789787186479377,55.43560752482533
1.0,2.0,0.1504643619297017,0.0536928033451431,0.8705384335983593,17.851082299823787,5.076167,17.113987,0.071532,8.512024152703047,15.69080836897379
1.0,4.0,0.6521655778001925,0.0492978673515835,2.0397682650874964,52.22480576007675,28.512619,43.669688,2.723829,51.0405987613892,10.7176662728124
1.0,5.0,0.229428878091954,0.0794225408934039,1.1093887336773438,45.368065922156354,38.721945,23.425074,3.184068,43.94457856542921,10.816521215035843
1.0,7.0,0.2521662910711279,0.0608453718096484,1.1826068037344193,16.442996262348963,6.167213,15.242603,0.025762,15.139026077556244,6.417269810912582
1.0,8.0,0.3966918997130145,0.0811216346441483,1.4489645847926451,48.11946394620424,34.404588,32.986241,6.611735,1.002922781775594,47.65251217568304
